id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
330380,DHG,small_airport,Dalnegorsk Airport,44.558748,135.490005,833.0,EU,RU,RU-PRI,Dalnegorsk,no,,DHG,,,,
330383,DLR,small_airport,Dalnerechensk Airport,45.877949,133.735822,272.0,EU,RU,RU-PRI,Dalnerechensk,yes,UHHD,DLR,,,,
315624,DPT,small_airport,Deputatskiy Airport,69.392503,139.890012,950.0,EU,RU,RU-SA,Deputatskiy,yes,UEBD,DPT,,,https://en.wikipedia.org/wiki/Deputatsky_Airport,"УЕБД, Deputatsky Airport, Аэропорт Депутатский, Deputy Airport"
34933,RU-0001,medium_airport,Levashovo Air Base,60.0867,30.1933,60.0,EU,RU,RU-SPE,St. Petersburg,no,,,,,https://en.wikipedia.org/wiki/Levashovo_%28air_base%29,"Levashevo, Leningrad, Petrograd"
34935,RU-0002,closed,Afrikanda Air Base,67.456703,32.786701,505.0,EU,RU,RU-MUR,Afrikanda,no,,,,,https://en.wikipedia.org/wiki/Afrikanda_air_base,"ЬЛМФ, Аэродром Африканда, XLMF"
34936,RU-0003,small_airport,Protasovo Regional Airport,54.493301,39.931702,469.0,EU,RU,RU-RYA,Listvyanka,no,,,UUWP,https://www.aeroprotasovo.ru/,https://en.wikipedia.org/wiki/Protasovo_(air_base),"УУВП, Aleksandrovo Air Base, Protasovo Air Base, Ryazan Alexandrovo, Аэродром Александрово, Аэродром Протасово"
34937,RU-0004,closed,Aleysk Air Base,52.48419,82.696788,676.0,AS,RU,RU-ALT,Aleysk,no,,,,,https://en.wikipedia.org/wiki/Aleysk_%28air_base%29,"УНБЙ, Aleisk Air Base, Аэродром Алейск"
34938,RU-0005,closed,Andreapol Air Base,56.643299,32.313301,751.0,EU,RU,RU-TVE,Andreapol,no,,,,,https://en.wikipedia.org/wiki/Andreapol_%28air_base%29,"ЬУЕА, Андреаполь, XUEA"
34939,RU-0006,small_airport,Arabatuk Air Base,50.223801,117.098999,2280.0,AS,RU,RU-ZAB,Dauriya,no,ZA2N,,,,https://en.wikipedia.org/wiki/Arabatuk,"ЗА2Н, Даурия, Krasnyy Velikan North, Аэродром Арабатук, Аэродром Красный Великан Северный, ZA2N"
34940,RU-0007,closed,Ashchebutak Air Base,51.035,59.168301,741.0,AS,RU,RU-ORE,Novoorsk,no,,,,,https://en.wikipedia.org/wiki/Ashchebutak,"ЬВОА, Ащибутак, XWOA"
34942,RU-0008,medium_airport,Bada Air Base,51.406917,109.900091,2500.0,AS,RU,RU-ZAB,Bada,no,XIAB,,,,https://en.wikipedia.org/wiki/Bada_%28air_base%29,
34944,RU-0009,closed,Bakhmutovo Air Base,56.371700286865234,34.08829879760742,699.0,EU,RU,RU-TVE,Rzhev,no,,,,,https://en.wikipedia.org/wiki/Bakhmutovo,
34945,RU-0010,medium_airport,Balashov Air Base,51.533298,43.299999,568.0,EU,RU,RU-SAR,Balashov,no,,,XWSW,,https://en.wikipedia.org/wiki/Balashov_%28air_base%29,
34947,RU-0011,closed,Baltiysk Air Base,54.61000061035156,19.86829948425293,10.0,EU,RU,RU-KGD,Baltiysk,no,,,,,https://en.wikipedia.org/wiki/Baltiysk_%28air_base%29,
